low,high
1840,1683.0
2090,2061.0
2169,1792.0
1988,1852.0
2212,2091.0
2339,1781.0
1989,1912.0
2144,1802.0
2290,1751.0
1920,1731.0
2280,1892.0
1809,1951.0
2158,1809.0
1800,1683.0
2133,1787.0
2060,1840.0
2160,1821.0
2001,1910.0
2030,1930.0
2088,1800.0
1951,1833.0
2460,1683.0
2021,1671.0
2010,1680.0
2139,1692.0
2160,1800.0
2106,1821.0
2171,1882.0
2113,1642.0
2179,1749.0
1890,1712.0
2179,1661.0
2021,1701.0
1969,2141.0
2150,1863.0
1900,1752.0
2267,1740.0
1711,1721.0
1901,1660.0
2114,1930.0
2112,2030.0
2361,1851.0
2130,2131.0
2061,1828.0
2121,
1832,
2210,
2130,
2153,
2009,
2100,
2252,
2143,
2252,
2222,
2121,
2409,
